component,tier,confidence,mtbf_days,is_placeholder,IB_365d,IC_365d,R_365d,Q_365d,IB_1825d,IC_1825d,R_1825d,Q_1825d
Hydraulic System,B,fitted_tier_b,1844.7,False,0.548979,0.248215,0.82037,0.17963,0.049945,0.248215,0.37178,0.62822
Pitch System,A,fitted_tier_a,1936.4,False,0.543857,0.236463,0.828097,0.171903,0.047659,0.236463,0.389609,0.610391
Yaw System,C,assumed_placeholder,4300.0,True,0.490293,0.106484,0.918566,0.081434,0.028387,0.106484,0.654112,0.345888
Mechanical Brake,C,assumed_placeholder,4400.0,True,0.489347,0.104064,0.920341,0.079659,0.028115,0.104064,0.660453,0.339547
Electrical Safety System,C,assumed_placeholder,5200.0,True,0.483138,0.088054,0.93217,0.06783,0.026377,0.088054,0.703977,0.296023
Transformer,C,assumed_placeholder,6000.0,True,0.478634,0.076314,0.940941,0.059059,0.025171,0.076314,0.737707,0.262293
Cooling System,C,assumed_placeholder,11000.0,True,0.465572,0.041626,0.967341,0.032659,0.02192,0.041626,0.847104,0.152896
Grounding/Lightning Protection,C,assumed_placeholder,14600.0,True,0.461775,0.031362,0.975293,0.024707,0.021041,0.031362,0.882482,0.117518
Gearbox,C,posterior_informed,28033.1,False,0.456273,0.016334,0.987055,0.012945,0.019818,0.016334,0.936964,0.063036
Main/Rotor Bearing,C,posterior_informed,29293.6,False,0.456017,0.015631,0.987609,0.012391,0.019762,0.015631,0.939593,0.060407
SCADA/Communication,C,posterior_informed,37150.3,False,0.454816,0.012325,0.990216,0.009784,0.019504,0.012325,0.952056,0.047944
Converter,C,posterior_informed,37289.6,False,0.454799,0.012279,0.990253,0.009747,0.0195,0.012279,0.952231,0.047769
Generator,C,posterior_informed,42203.0,False,0.454281,0.01085,0.991383,0.008617,0.019389,0.01085,0.957673,0.042327
