component,lambda_per_day,lambda_fraction_pct,mtbf_days,tier,confidence,is_placeholder
Hydraulic System,0.0005420924769610697,24.821456531106364,1844.703703703704,B,fitted_tier_b,False
Pitch System,0.0005164281826957566,23.64633385078601,1936.3776678104537,A,fitted_tier_a,False
Yaw System,0.00023255813953488373,10.648426231221487,4300.0,C,assumed_placeholder,True
Mechanical Brake,0.00022727272727272727,10.406416544148273,4400.0,C,assumed_placeholder,True
Electrical Safety System,0.0001923076923076923,8.805429383510077,5200.0,C,assumed_placeholder,True
Transformer,0.00016666666666666666,7.631372132375399,6000.0,C,assumed_placeholder,True
Cooling System,9.09090909090909e-05,4.162566617659309,11000.0,C,assumed_placeholder,True
Grounding/Lightning Protection,6.84931506849315e-05,3.136180328373452,14600.0,C,assumed_placeholder,True
Gearbox,3.567205524090434e-05,1.6333603696199592,28033.147886957817,C,posterior_informed,False
Main/Rotor Bearing,3.413718654427391e-05,1.5630814444300345,29293.568135823352,C,posterior_informed,False
SCADA/Communication,2.6917718783173213e-05,1.2325147739341553,37150.250660361286,C,posterior_informed,False
Converter,2.6817155291661357e-05,1.2279101493742077,37289.56293551928,C,posterior_informed,False
Generator,2.3694988368222427e-05,1.0849516434612714,42203.017130032,C,posterior_informed,False
